,AAPL,MSFT,AMZN,GOOGL,JPM,JNJ,XOM,NVDA,XLK,XLF,XLE,XLV,GLD,TLT,IEF,LQD,BTC-USD,ETH-USD
2024-05-31,0.0,0.0,0.13675846461677948,0.039285533502938445,0.19999999999999996,2.043825361369722e-17,1.0513974837973452e-17,0.1999999999999999,0.0,0.02395600188028213,0.0,1.1352091782692123e-18,0.0,2.7119993808854424e-17,3.9089600244344675e-17,6.611168609402648e-17,0.1999999999999999,0.19999999999999996
2024-06-28,0.0,0.0,0.0426242161031776,0.19999999999999984,0.19999999999999993,0.0,4.245174412708026e-17,0.19999999999999984,4.255645371413612e-18,3.757126542452324e-17,4.0717020651103456e-17,0.0,8.712087363348303e-17,2.4237147629323798e-17,0.0,0.0,0.19999999999999993,0.15737578389682247
2024-07-31,1.907852415839747e-17,2.65315685099962e-18,0.18836545200510313,1.0466485473756326e-18,0.19999999999999998,7.779751318571323e-18,5.619999546462073e-18,0.19999999999999998,2.2617646878452107e-17,0.01163454799489682,9.398994707630804e-18,3.289988604957201e-17,0.0,9.028653029812026e-18,8.383381434329872e-18,2.7334499436872394e-17,0.2,0.19999999999999998
2024-08-30,0.0,1.4753989603303561e-16,0.0,0.0,0.2,0.0,0.0,0.2,6.068974400469908e-18,0.2,0.0,8.00307643415118e-18,0.1665396375143883,0.0,0.0,0.0,0.2,0.03346036248561167
2024-09-30,0.005168031142589245,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.19183922195472336,0.0,6.591611691420865e-17,0.2,0.0,2.3024498009262463e-18,0.0,0.2,0.0029927469026873213
2024-10-31,1.2697067784636856e-16,0.0,0.0,2.0469737016526314e-16,0.19999999999999993,0.0,0.0,0.19999999999999993,0.0,0.19999999999999993,4.0176153397515823e-17,0.0,0.19999999999999993,0.0,3.9408507644593674e-17,1.4289980842640842e-17,0.19999999999999982,0.0
2024-11-29,0.0,0.0,7.922915740225866e-18,4.2292124608016346e-17,0.1999999999999999,0.0,0.0,0.19999999999999996,1.7964986190965094e-17,0.19999999999999996,0.0,2.2295018617329074e-17,0.06512413625924697,5.605081424630344e-18,0.0,2.0729595546613907e-18,0.19999999999999993,0.13487586374075314
2024-12-31,0.10828975255754489,0.0,0.08547396950154412,0.0,0.19999999999999982,0.0,8.72925368889731e-18,0.2,0.0,6.708667100375971e-17,0.0,2.1861652503127982e-17,0.16155939241865985,2.10180076876627e-17,3.625104821108404e-17,4.011940700862066e-17,0.19999999999999998,0.04467688552225119
2025-01-31,2.3542819702415785e-17,6.371767795676626e-18,0.12591692309372685,0.07031698954401175,0.19999999999999976,5.756961700277348e-17,1.412021494041692e-17,0.19999999999999987,3.319221903753677e-17,0.0,2.794379263960709e-17,0.0,0.19999999999999987,1.3256451590959573e-17,6.753072446248404e-17,3.8514763821340754e-17,0.19999999999999982,0.0037660873622617328
2025-02-28,0.19999999999999993,8.585741477425826e-17,0.0,0.0,0.19999999999999993,0.0,6.164014969649513e-18,0.1318931012894832,5.302451591798139e-17,0.0906922617327838,0.0,0.0,0.19999999999999993,5.136188614765503e-19,0.0,0.0,0.17741463697773316,5.421206672939793e-17
2025-03-31,0.19999999999999984,0.0,6.36952881675914e-17,3.192586757919809e-17,0.19999999999999993,0.10026171746948032,8.117007014861466e-17,0.03027623173023836,3.592825029524829e-17,0.1999999999999999,2.5644300371465028e-17,1.7329140829475394e-17,0.19999999999999993,0.0,0.0,0.0,0.06946205080028153,0.0
2025-04-30,0.05093684250928949,9.837845663408218e-18,9.51391587679338e-17,0.0,0.19999999999999996,0.13789154633270442,5.017906964674034e-17,0.01117161115800636,3.8507048360763e-18,0.0,2.2634669543134194e-17,0.0,0.19999999999999984,0.0,0.19999999999999996,0.0,0.19999999999999987,4.7938874089551946e-17
2025-05-30,9.36015712484678e-17,2.7155553014768688e-17,0.0,7.9304277450502e-17,0.1999999999999999,0.1002410030642212,1.3204858743490177e-16,0.0,1.1267314277756657e-16,0.16314992344524723,5.980949402395708e-17,9.777833202354082e-17,0.19999999999999962,1.456636902100747e-17,0.13660907349053156,1.259217938120313e-16,0.19999999999999965,6.610860831764109e-17
2025-06-30,0.0,1.481695888631993e-16,0.0,0.0,0.2,0.021762235555302392,0.0,9.380697912131159e-05,0.0,0.2,0.0,0.0,0.2,0.0,0.17814395746557618,0.0,0.2,0.0
2025-07-31,8.964202981034198e-17,0.0935002769281676,0.0,8.356372138084512e-17,0.19999999999999993,0.12608449181870343,9.020445968731884e-17,0.14336326620457676,5.845766482422767e-17,0.0,8.481868252292915e-19,1.9907501328789963e-17,0.19999999999999973,1.1018088471536425e-16,4.560309281669641e-17,0.0,0.1999999999999998,0.0370519650485522
2025-08-29,0.0,0.0,3.1136919652522406e-17,4.55814070068597e-17,0.19999999999999996,0.13809725386356414,0.0,0.06190274613643592,2.047509921690146e-17,0.0,0.0,0.0,0.19999999999999996,0.0,6.763009130611991e-17,0.0,0.19999999999999996,0.19999999999999996
2025-09-30,3.8110606825649657e-17,5.4388519841567895e-18,2.928779596474055e-17,0.14259690696078958,0.19999999999999973,0.06480300320440248,3.580328907732894e-17,0.04281020593804058,2.5172486390505532e-17,5.9267429617752665e-18,5.2361089130256e-17,2.5740537663947855e-17,0.19999999999999996,1.456309089198011e-17,0.0,0.0,0.19999999999999993,0.14978988389676742
2025-10-31,9.2744460012383e-18,1.1219149019147753e-16,0.0,0.19999999999999996,0.1987325472384199,0.09236377603692582,4.125502195777166e-17,0.007819117900943176,1.5967185918774718e-17,0.0,0.0,0.0,0.19999999999999996,1.0462855211317972e-17,3.1165187475160323e-17,3.964418439982982e-18,0.19999999999999993,0.10108455882371095
2025-11-28,0.0,0.0,0.0,0.19999999999999987,0.19999999999999987,0.19999999999999987,0.0,0.10555199061647672,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.09444800938352364,0.0,0.0,0.0
2025-12-31,0.0,0.0,0.0,0.19999999999999987,0.19999999999999987,0.19999999999999987,1.4832865580372848e-18,0.19999999999999987,6.002143226879749e-16,0.0,0.0,2.3844277869334685e-17,0.19999999999999987,0.0,0.0,0.0,0.0,2.377143431990462e-17
2026-01-30,0.0,2.436844176641038e-17,0.0,0.2,3.918885769177752e-18,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,4.1861190592645436e-17,1.02751533149055e-17,4.530271291110596e-17,0.0
2026-02-27,0.0,0.0,5.078509447458048e-17,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,5.103027216248193e-17,0.0,0.0,5.727954925285678e-17,0.19999999999999993,0.0,0.0,0.0,0.0,8.285330188647079e-17
2026-03-31,7.437614498233134e-17,4.4652987339973526e-17,3.515692782056532e-17,0.19999999999999996,0.0,0.19999999999999996,0.1999999999999998,0.19999999999999996,0.0,4.936491441741117e-17,0.0,9.73695455981433e-19,0.19999999999999996,5.144771651470836e-17,0.0,6.118435152093668e-17,5.592187057347399e-17,0.0
2026-04-30,0.0,0.0,4.2634165417979453e-16,0.19999999999999993,0.0,0.19999999999999993,0.1644928962306713,0.19999999999999993,0.03550710376932849,0.0,0.19999999999999993,0.0,1.722683938808023e-17,0.0,5.027596537017442e-17,0.0,0.0,0.0
2026-05-29,0.2,2.4471886633181835e-17,0.0,0.19999999999999993,0.0,0.17824201358760453,0.19316094454824073,0.028597041864154852,0.19999999999999996,2.2136015686935827e-17,0.0,2.562881163633239e-17,0.0,0.0,0.0,2.0112186457238868e-17,8.463804972981707e-18,5.552019859424679e-17
2026-06-30,0.19999999999999996,2.8066120121381215e-17,0.0,0.19999999999999987,0.0,0.1999999999999999,0.19999999999999996,9.943797114034264e-17,0.1999999999999999,1.1135688326613764e-17,1.7694179454963427e-16,0.0,0.0,0.0,0.0,1.0137594885581115e-17,1.0236019492372877e-17,8.394447776407886e-18
